eps,alpha,B,dim,Deff
0.02,0.02,4,2,1.7585897296027244
0.02,0.02,2,5,0.9561772195428443
0.02,0.005,3,2,1.6853016324788683
0.02,0.01,3,4,1.245135374685364
0.02,0.005,2,2,1.7024380454168244
0.02,0.005,4,3,1.8280728655855907
0.02,0.01,2,3,1.725081770684341
0.02,0.01,4,5,0.8015621895463555
0.02,0.02,4,2,1.7928980575384927
0.02,0.02,2,5,0.7790068393151324
0.02,0.005,3,2,1.6850249879390227
0.02,0.01,3,4,1.2847288979848321
0.02,0.005,2,2,1.7222901645488236
0.02,0.01,2,4,1.3193052884981467
0.02,0.005,4,3,1.6832521420157598
0.02,0.01,4,5,0.8350080077196551
0.02,0.02,4,2,1.7651734457494568
0.02,0.02,3,2,1.7769977744733318
0.02,0.01,3,4,1.2570461104957447
0.02,0.005,3,3,1.6990300824770108
0.02,0.005,2,2,1.7066177194243264
0.02,0.01,2,4,1.3858437040054397
0.02,0.005,4,3,1.7059249785459614
0.02,0.01,4,5,0.7516261388728919
0.02,0.02,4,2,1.7911168689910735
0.02,0.02,3,2,1.7893810012617357
0.02,0.005,3,3,1.7644335648702087
0.02,0.005,2,2,1.7384011839456175
0.02,0.01,2,4,1.3289957914255004
0.02,0.01,3,5,0.9117705154005069
0.02,0.005,4,3,1.8616977683818374
0.02,0.01,4,5,0.8608072951748101
0.02,0.02,4,3,1.6363580344421933
0.02,0.02,3,2,1.7731503567362343
0.02,0.02,4,2,1.7788557973282775
0.02,0.02,2,5,0.8476525246039752
0.02,0.005,3,2,1.689433590044688
0.02,0.005,2,2,1.6923409327757881
0.02,0.01,3,4,1.1733830794001752
0.02,0.01,2,3,1.7510421967157153
0.02,0.005,4,3,1.6097131113835246
0.02,0.01,4,5,0.7737143304887357
0.02,0.02,4,2,1.783586823342092
0.02,0.02,2,5,0.9694481222862419
0.02,0.01,2,4,1.3727479107450962
0.02,0.005,3,2,1.6711104490049078
0.02,0.01,3,4,1.2121926420064526
0.02,0.005,2,2,1.701900538579922
0.02,0.005,4,3,1.732485121969801
0.02,0.01,4,5,0.790079273970771
0.02,0.02,4,2,1.7588081490219971
0.02,0.02,3,2,1.7781760935331787
0.02,0.01,2,4,1.3097456079178393
0.02,0.005,3,3,1.812746799178927
0.02,0.005,2,2,1.72201969502213
0.02,0.01,3,4,1.2718693511658758
0.02,0.005,4,3,1.7156122109290746
0.02,0.01,4,5,0.8045360910001911
0.02,0.02,4,2,1.778562247994556
0.02,0.02,3,2,1.7618924270030003
0.02,0.01,2,4,1.3455312605316474
0.02,0.005,2,2,1.723379456866526
0.02,0.005,3,3,1.7444550712517706
0.02,0.01,3,5,0.9550423895050475
0.02,0.005,4,3,1.7545561355499024
0.02,0.02,4,3,1.8173475662763088
0.02,0.02,3,2,1.7756773162621884
0.02,0.01,4,5,0.8479572869043303
0.02,0.01,2,4,1.2109723214600339
0.02,0.005,2,2,1.7079754341057287
0.02,0.005,3,3,1.684380561963005
0.02,0.005,4,4,1.3479560841886002
0.02,0.01,3,5,0.9708928261354535
0.02,0.02,3,2,1.7483960278990716
0.02,0.02,4,3,1.679618023555144
0.02,0.01,4,5,0.7738865796271495
0.02,0.02,3,2,1.7615816371852975
0.02,0.02,4,3,1.6585586238955745
0.02,0.01,2,4,1.3849019880516165
0.02,0.005,2,3,1.669943747207934
0.02,0.005,4,4,1.3915293520988365
0.02,0.005,3,3,1.7342573447011806
0.02,0.01,3,5,0.9891898786500763
0.02,0.02,2,2,1.7668458524959425
0.02,0.02,3,3,1.6663008693301355
0.02,0.02,4,3,1.6127808343782017
0.02,0.01,2,5,0.9592554371841212
0.02,0.005,2,3,1.8898126352693172
0.02,0.005,4,4,1.3375872538202893
0.02,0.01,3,5,0.8883472364735125
0.02,0.005,3,3,1.8571089538587549
0.02,0.02,2,2,1.7481032299578938
0.02,0.02,3,3,1.6498706563436576
0.02,0.02,4,3,1.6203946885333143
0.02,0.01,2,5,1.0049746437046478
0.02,0.005,2,3,1.7417467256524461
0.02,0.005,4,4,1.4494236329370476
0.02,0.005,3,4,1.3550243869043312
0.02,0.01,3,5,0.8823516809805289
0.02,0.02,2,2,1.7700457068253899
0.02,0.02,3,3,1.62084614361766
0.02,0.02,4,4,1.1814558831496857
0.02,0.01,2,5,0.9453429444630217
0.02,0.005,2,3,1.7187307712149684
0.02,0.02,2,2,1.7449388920579907
0.02,0.005,4,4,1.4925714671509684
0.02,0.005,3,4,1.2955946202844848
0.02,0.01,4,2,1.7501511832841787
0.02,0.02,3,3,1.6716221375041802
0.02,0.02,4,4,1.109959946798909
0.02,0.02,2,2,1.7542242440711784
0.02,0.005,2,3,1.796812661795316
0.02,0.01,2,5,0.9699656424069315
0.02,0.005,4,5,0.9512926894881091
0.02,0.02,3,3,1.6336792880459383
0.02,0.02,4,4,1.163194442193761
0.02,0.005,3,4,1.262793100595145
0.02,0.01,4,2,1.7690058521013772
0.02,0.02,2,3,1.7301838364387456
0.02,0.02,3,4,1.1703733771926552
0.02,0.02,4,4,1.1900358048762807
0.02,0.005,2,4,1.323676353099787
0.02,0.01,2,5,1.1120037215665148
0.02,0.005,4,5,0.9289549576911125
0.02,0.005,3,4,1.396848105604456
0.02,0.01,4,2,1.7394834016315408
0.02,0.02,2,3,1.6734431239970606
0.02,0.02,4,4,1.190952636027361
0.02,0.02,3,4,1.2080904614496473
0.02,0.005,2,4,1.4456822896228207
0.02,0.01,3,2,1.7216533691164961
0.02,0.01,4,2,1.7508997615239417
0.02,0.005,3,4,1.3550412777212362
0.02,0.005,4,5,1.0331434859972954
0.02,0.02,2,3,1.6884754797887416
0.02,0.02,4,5,0.9413171627515737
0.02,0.02,3,4,1.2771579157753101
0.02,0.005,2,4,1.3754939830059827
0.02,0.01,3,2,1.7346865879017197
0.02,0.01,4,2,1.737293037006121
0.02,0.005,3,5,1.1609240071542757
0.02,0.005,4,5,1.0265658838406728
0.02,0.02,2,3,1.807279233344525
0.02,0.02,3,4,1.1599635087615923
0.02,0.02,4,5,0.9570230461821094
0.02,0.005,2,4,1.6131757722594007
0.02,0.01,3,2,1.7066083783410049
0.02,0.01,4,3,1.6295057239995845
0.02,0.005,3,5,0.972075695385843
0.02,0.005,4,5,1.0115886787413013
0.02,0.02,2,3,1.6525644097593788
0.02,0.02,3,4,1.123585595755823
0.02,0.02,4,5,0.832345147717609
0.02,0.005,2,4,1.3742440898394002
0.02,0.01,3,2,1.7073640910671573
0.02,0.01,4,3,1.683874330929926
